DBN,RH School,BN,CEP URL,Total Enrollment,Num Female,Num Black,Num Hispanic
05M197,n,M197,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M197.pdf,305,129,182,114
05M200,n,M200,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M200.pdf,384,180,245,118
05M285,n,M285,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M285.pdf,216,122,114,91
05M286,n,M286,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M286.pdf,125,55,68,47
05M304,n,M304,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M304.pdf,288,135,100,163
05M318,n,M318,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M318.pdf,210,115,166,36
05M362,n,M362,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M362.pdf,718,371,148,280
05M369,n,M369,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M369.pdf,387,309,187,183
05M499,n,M499,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M499.pdf,1257,576,851,332
05M514,n,M514,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M514.pdf,142,67,88,48
05M517,n,M517,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M517.pdf,311,178,118,124
05M670,n,M670,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M670.pdf,560,293,381,150
05M692,n,M692,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M692.pdf,491,186,42,82
06M004,n,M004,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M004.pdf,498,231,36,445
06M005,n,M005,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M005.pdf,552,288,34,507
06M008,n,M008,https://www.nycenet.edu/documents/oaosi/cep/2018-19/cep_M008.pdf,495,248,9,476
